"id","Default","en","ru"
"medicines.transfer.validationmsg1","The destination unit cannot be the same as the sending unit.","The destination unit cannot be the same as the sending unit.","Место назначения не может совпадать с местом отправления"
"meds.amc","AMC","AMC","AMC - Alternative Medical Care - альтернативное медобслуживание  ????"
"meds.amc.desc","Average Monthly Consumption","Average Monthly Consumption","Среднее месячное потребление"
"meds.desc","Allows to record, search, follow and authorize medicines receiving, orders, transfers, dispensing, movements and stock position.","Allows to record, search, follow and authorize medicines receiving, orders, transfers, dispensing, movements and stock position.","Позволяет записывать, искать, отслеживать и утверждать заказы, получение, выдачу, движение и передачу препаратов, и получать информацию о запасах"
"meds.dispensing.date","Dispensing date","Dispensing date","Дата выдачи"
"meds.dispensing.details","Dispensing details","Dispensing details","Информация о выдаче препаратов"
"meds.dispensing.edit","Enter dispensing","Enter dispensing","Ввести данные о выдаче"
"meds.dispensing.error1","No medicine was entered for dispensing","No medicine was entered for dispensing","Лекарства не были введены для выдачи"
"meds.dispensing.estimate","Estimate quantity based on dispensing to patient","Estimate quantity based on dispensing to patient","Расчетное количество, основанное на выдаче препаратов больному"
"meds.dispensing.invalidqtd","The dispensing quantity is bigger than the reserved quantity in stock for the following medicines","The dispensing quantity is bigger than the reserved quantity in stock for the following medicines","Выданное количество превышает резервный запас по следующим  препаратам"
"meds.dispensing.lastdisprec","Last dispensing registered","Last dispensing registered","Последняя выдача регистрирована"
"meds.dispensing.new","New Medicine Dispensing","New Medicine Dispensing","Выдача новых препаратов"
"meds.dispensing.nodisp","No dispensing information found for the month/year selected","No dispensing information found for the month/year selected","Для выбранного месяца/года информация о выдаче не найдена"
"meds.dispensing.patients","Dispensing to patient","Dispensing to patient","Выдача пациенту"
"meds.dispensing.register","Register dispensing","Register dispensing","Регистрировать выдачу"
"meds.dispensing.totdisp","Total dispensed qty","Total dispensed qty","Всего выдано (кол-во)"
"meds.dispensing.view","Dispensing history","Dispensing history","История выдачи"
"meds.dispensing.weekmsg","Week {0}: From day {1} to {2}","Week {0}: From day {1} to {2}","Неделя {0}: от дня {1}  до  {2}"
"meds.inventory","Inventory","Inventory","Инвенторий"
"meds.inventory.expiredmsg","This medicine has batches expired.","This medicine has batches expired.","Лекарство имеет просроченные партии"
"meds.inventory.expiringmsg","This medicine has batches to expire in {0} month(s).","This medicine has batches to expire in {0} month(s).","Партии лекарства будут просрочены через  {0} месяцев"
"meds.inventory.maxmonthsmsg","This medicine reached the maximum of {0} month(s) of stock.","This medicine reached the maximum of {0} month(s) of stock.","Лекарство достигло максимум  {0}  месяцев запаса"
"meds.inventory.minmonthsmsg","This medicine reached the minimum of {0} month(s) of stock.","This medicine reached the minimum of {0} month(s) of stock.","Лекарство достигло минимум  {0}  месяцев запаса"
"meds.inventory.monthsstock","# months stock on hand","# months stock on hand","#  месяцев запаса"
"meds.modify","Modify","Modify","Изменить"
"meds.mov.newadjust.newbatch","Include new batch on stock adjustment","Include new batch on stock adjustment","Включите новую партию в корректировку величины запасов "
"meds.movs","Medicine movements","Medicine movements","Движение препаратов"
"meds.movs.adjchange","Change quantity","Change quantity","Изменить количество"
"meds.movs.adjreason","Reason for adjustment","Reason for adjustment","Причина для поправки"
"meds.movs.adjustok","The stock adjustment was successfully done","The stock adjustment was successfully done","Корректировка запаса выполнена успешно"
"meds.movs.availableqtty","Available quantity","Available quantity","Количество  в наличии"
"meds.movs.datebefore","Date cannot be before the unit start date of medicine management on {0}","Date cannot be before the unit start date of medicine management on {0}","Дата не может предшествовать дате начала управления препаратами {0}"
"meds.movs.delbatch","Delete batch","Delete batch","Удалить партию"
"meds.movs.destunit","Destination Unit","Destination Unit","Учреждение-получатель"
"meds.movs.editoutofperiod","Can edit medicine movements (create or remove) out of period.","Can edit medicine movements (create or remove) out of period.","Можно изменить движения лекарств (создать или убрать) вне периода"
"meds.movs.errorlimitdate","Date must be after {0}.","Date must be after {0}.","Дата должна быть после"
"meds.movs.expiredposdjust","You cannot increase the quantity if reason for adjustment is medicine expiring","You cannot increase the quantity if reason for adjustment is medicine expiring","Вы не можете увеличит количество если причиной изменения является истечение срока godnosti"
"period.from","From","From","От"
"meds.movs.invalidqtd","The entered quantity cannot be bigger than the available quantity in stock","The entered quantity cannot be bigger than the available quantity in stock","Введенное количество  не может  превышать  запас в наличии."
"meds.movs.itensmov","Transferred medicines","Transferred medicines","Отправленные препараты"
"meds.movs.movqtd","Movement quantity","Movement quantity","Количество в движении"
"meds.movs.newqtty","New quantity","New quantity","Новое количество"
"meds.movs.outdate","Date of disposal","Date of disposal","Дата уничтожения"
"meds.movs.productinlist","The medicine has already been entered","The medicine has already been entered","Это препарат уже введен"
"meds.movs.productreq","The product is required","The product is required","Требуется  ввести препарат"
"meds.movs.refdate","Reference date","Reference date","Дата отсчёта"
"meds.movs.regqtty","Registered quantity","Registered quantity","Введенное количество"
"meds.movs.selectfilter","To show movements, at least the date or the pharmacy store must be entered","To show movements, at least the date or the pharmacy store must be entered","Для визуализации  движения препаратов  введите  дату и  название аптеки"
"meds.movs.showbatches","Display batches","Display batches","Показать серии"
"meds.movs.stockqtty","Stock quantity at previous month end","Stock quantity at previous month end","Объем запаса"
"period.to","To","To","В"
"meds.nextorderdate","Next order date","Next order date","Дата следующего заказа"
"meds.nounit","No unit found","No unit found","Единица не найдена"
"meds.onemonthless","Less than one month","Less than one month","Менее одного месяца"
"meds.orders.authorized","The order was authorized","The order was authorized","Заказ успешно подтвержден ."
"meds.orders.authorizerdesc","Before shipping, this order must be authorized by the following unit","Before shipping, this order must be authorized by the following unit","Перед отправкой, этот заказ должен быть одобрен следующим учреждением"
"meds.orders.available","Available in stock","Available in stock","Запасы в наличии"
"meds.orders.batches","Batches","Batches","Серии/партии"
"meds.orders.cancelsuccess","The order was successfully cancelled","The order was successfully cancelled","Заказ успешно отменен"
"meds.orders.cannotcancel","Received orders cannot be cancelled","Received orders cannot be cancelled","Полученные заказы не  могут быть отменены."
"meds.orders.createdin","Order created in","Order created in","Заказ сформирован в"
"meds.orders.diffQuantityReceived","Orders with quantity received less than the amount sent.","Orders with quantity received less than the amount sent.","Заказы c полученным количеством меньше чем отправленное количество"
"meds.orders.initerror","Unable to estimate quantity. Check the number of days for medicine consumption estimation in the administration module.","Unable to estimate quantity. Check the number of days for medicine consumption estimation in the administration module.","Невозможно определить количество. В Модуле управления проверьте количество дней приема препарата."
"meds.orders.invalidqtd","Invalid quantity of medicines","Invalid quantity of medicines","Ошибка при введении количества лекарств"
"meds.orders.invalidreceivingdate","The receiving date cannot be before the shipment date","The receiving date cannot be before the shipment date","Дата получения заказа не может предшестровать дате отправки"
"meds.orders.invalidshipmentdate","The shipment date cannot be before the authorizing date","The shipment date cannot be before the authorizing date","Дата отправки заказа не может предшествовать  дате подтверждения"
"meds.orders.mail.authorized.msg1","A medicine order has just been approved and is being prepared for shipment.","A medicine order has just been approved and is being prepared for shipment.","Заказ был одобрен и готовится к отправке"
"meds.orders.mail.new.msg1","A new medicine order has just been posted by the unit bellow","A new medicine order has just been posted by the unit bellow","Новый заказ был выставлен нижеперечисленным учреждением"
"meds.orders.mail.shipped.msg1","The medicine order was shipped to the unit bellow. Once the medicines are delivered, register it in eTB Manager.","The medicine order was shipped to the unit bellow. Once the medicines are delivered, register it in e-TB Manager.","Новый заказ был выслан в нижеперечисленное учреждение. Как только лекарства прибудут, занесите их в e-TBM"
"meds.orders.mail.toship","New medicine order waiting for shipment","New medicine order waiting for shipment","Новый препарат в ожидании отправки"
"meds.orders.mail.toship.msg1","The medicine order bellow is waiting for its shipment to the unit that requested it. Once the order is shipped, record the transaction in eTB Manager.","The medicine order bellow is waiting for its shipment to the unit that requested it. Once the order is shipped, record the transaction in e-TB Manager.","Заказ ожидает отправку в учреждение, которое запросило его. Как только заказ будет отправлен, занесите трансакцию в e-TB Manager"
"meds.orders.new.confirm","Confirm Order","Confirm Order","Подтвердите заказ"
"meds.orders.new.medicines","Medicine selection","Medicine selection","Выбор препаратов"
"meds.orders.new.post","Place order","Place order","Сделать заказ"
"meds.orders.nobatchsel","No batch selected","No batch selected","Серия не  выбрана"
"meds.orders.nomedicine","No medicine to order","No medicine to order","Препарат для заказа не выбран"
"meds.orders.noobs","A comment is required if the receiving quantity is different from the shipped quantity","A comment is required if the receiving quantity is different from the shipped quantity","Требуется  объяснение, если объем заказа при получении не соответствует отправленному количеству"
"meds.orders.noopenorder","There is no open order.","There is no open order.","Нет открытого заказа"
"meds.orders.openorders","Orders Pending","Orders Pending","заказы в ожидании"
"meds.orders.openorders.my","Orders from this unit","Orders from this unit","Заказы с этого учереждения"
"meds.orders.openorders.recs","orders to be shipped","orders to be shipped","Заказы для отправки"
"meds.orders.openorders.toaut","Orders to authorize","Orders to authorize","Заказы для подтверждения"
"meds.orders.previous","Previous order","Previous order","Предыдущий заказ"
"meds.orders.print","Print order","Print order","Распечатать бланк заказа"
"meds.orders.printpac","Print patient list","Print patient list","Распечатать список пациентов"
"meds.orders.qtdordered","Ordered quantity","Ordered quantity","Заказанное количество"
"meds.orders.received","Order was successfully registered as received","Order was successfully registered as received","Заказ  зарегистрирован как доставленный"
"meds.orders.remove","Delete order","Delete order","Удалить  заказ"
"meds.orders.shipaddr","Shipping address","Shipping address","Адрес для посылки"
"meds.orders.shipment.rollback","Reverse order shipment","Reverse order shipment","Отозвать заказ"
"meds.orders.shipment.rollback.confirm","Confirm reverting the medicine order to the waiting for shipment status?","Confirm reverting the medicine order to the waiting for shipment status?","Подтвердите отозванный заказ в статус ожидания отгрузки?"
"meds.orders.shipped","Medicine order was registered as shipped","Medicine order was registered as shipped","Заказ зарегистрирован как отправленный"
"meds.orders.unavailable","Unavailable","Unavailable","Нет в наличии"
"meds.orders.viewall","Order history","Order history","История заказов"
"meds.orders.viewopen","View Pending Orders","View Pending Orders","Просмотреть  заказы в ожидании"
"meds.patients","Patients enrolled","Patients enrolled","Пациенты на лечении"
"meds.patients.medicinereq","At least one medicine shall be entered","At least one medicine shall be entered","Как минимум  одно  лекарство должно  быть введено"
"meds.patients.new","New DR-TB Case","New DR-TB Case","Новый случай   МЛУ- ТБ"
"meds.patients.presenttreatment","Current treatment","Current treatment","Текущее лечение"
"meds.patients.valuesreq","#0: All values must be informed","#0: All values must be informed","#0:  Все  значения  должны быть  введены"
"meds.receiving.addbatchmed","Add batch to this medicine","Add batch to this medicine","Добавить партию для этого препарата"
"meds.receiving.edt","Edit medicine receiving","Edit medicine receiving","Редактировать получение препаратов"
"meds.receiving.new","New medicine receiving","New medicine receiving","Новое  получение  препаратов"
"meds.receiving.newbatch","New batch","New batch","Новая серия"
"meds.receiving.nobatch","No batch was included","No batch was included","Партия не была включена"
"meds.receiving.removeerror","The receiving cannot be removed because some batches are already in use","The receiving cannot be removed because some batches are already in use","Полученное количество невозможно удалить, т.к. некоторые серии уже используются"
"meds.receiving.viewall","View all receivings","View all receivings","Просмотреть все получение"
"meds.reports","Reports","Reports","Отчеты"
"meds.selbatches","Select batches","Select batches","Выбрать серии"
"meds.selbatches.expired","Expired batch","Expired batch","Серии препаратов с истекшим сроком хранения"
"meds.selunit","Select another unit","Select another unit","Выбрать другое медучреждение"
"meds.start.alert","Medicine management has not been started\u200F","Medicine management has not been started\u200F","Не входит в систему управление препаратами"
"meds.start.medtitle","Provide the amount of each medicine batch on the start date","Provide the amount of each medicine batch on the start date","Указать количество препарата каждой серии на начальную дату"
"meds.start.notstarted","This unit didn't start the medicine management.","This unit didn't start the medicine management.","В этом учреждении не внедрена система управления препаратами"
"meds.start.remove","Remove unit from medicine management","Remove unit from medicine management","Вывести учреждение из системы управления препаратами"
"meds.start.removeconfirm","Confirm removing the TB unit from the medicine management? All information related to medicine management will be erased.","Confirm removing the TB unit from the medicine management? All information related to medicine management will be erased.","Подтвердить вывод  ТБ учреждения из системы управления препаратами. Вся информация связанная управлением препаратов будет потеряна."
"meds.stockoutdate","Estimated months of stock","Estimated months of stock","Предполагаемый запас в месяцах"
"meds.stockpos","Stock position","Stock position","Уровень запаса"
"meds.stockpos.adjust","Make a stock adjustment","Make a stock adjustment","Провести корректировку запаса"
"meds.stockpos.info","Medicine stock information","Medicine stock information","Информация о запасе препаратов"
"meds.stockpos.minbs","Quantity under minimum buffer stock","Quantity under minimum buffer stock","Количество ниже минимального резерва"
"meds.stockpos.minstock","Quantity is under minimum buffer stock","Quantity is under minimum buffer stock","Количество ниже минимального резерва"
"meds.stockpos.msg1","The stock quantity is not correct?","The stock quantity is not correct?","Ошибка в объеме запаса?"
"meds.transfer.all","All transfers","All transfers","Все передачи"
"meds.transfer.batchqtty","Value cannot be bigger than the available quantity","Value cannot be bigger than the available quantity","Значение не может быть больше  количества в наличии"
"meds.transfer.commentreq","A comment is required if the received quantity is different from the shipped quantity","A comment is required if the received quantity is different from the shipped quantity","Требуется объяснение,  если полученное количество не совпадает с отправленным количеством"
"meds.transfer.datebefore","The receiving date cannot be before the shipping date","The receiving date cannot be before the shipping date","Дата получения  не может предшествовать дате отправки"
"meds.transfer.detail","Transfer details","Transfer details","Характеристика отправки"
"meds.transfer.error","The quantity to transfer is bigger than the available quantity","The quantity to transfer is bigger than the available quantity","Объем заказа превышает  наличный запас"
"meds.transfer.mail01","A new medicine transference has been registered from the unit","A new medicine transference has been registered from the unit","A new medicine transference has been registered from the unit"
"meds.transfer.mail02","The transference hasn't been confirmed. To confirm, you must log in the system and register the receiving at the moment it arrives in destiny unit.","The transference hasn't been confirmed. To confirm, you must log in the system and register the receiving at the moment it arrives in destiny unit.","Перевод препаратов не был подтвержден. Чтобы подтвердить, Вам нужно ввойти в систему и зарегистрировать получение в момент прибытия в учреждение"
"meds.transfer.mail03","To register the medicine receiving in the destiny unit, click on the link below.","To register the medicine receiving in the destiny unit, click on the link below.","Чтобы регистрировать получение препарата в получающее учреждение, нажмите на ссылку ниже"
"meds.transfer.mail04","New Medicine Transference","New Medicine Transference","Перевод нового препарата"
"meds.transfer.nofound","No transfer found","No transfer found","Отправка не зарегистрирована"
"meds.transfer.ok","The medicine transfer was successfully registered","The medicine transfer was successfully registered","Отправка  препаратов  успешно зарегистрирована"
"meds.transfer.print","Print","Print","Печать"
"meds.transfer.qtty","Quantity to transfer","Quantity to transfer","Количество для отправки"
"meds.transfer.received","Received transfers","Received transfers","Пoлученные переводы препаратов"
"meds.transfer.sent","Sent transfers","Sent transfers","Отправленные переводы препаратов"
"meds.transfer.viewhistory","Transfer history","Transfer history","История  переводов препаратов"
"meds.transfer.viewopen","View Transfers Pending","View Transfers Pending","Открыть переводы препаратов в ожидании"
"meds.undefined","Undefined","Undefined","Неопределено"
"meds.unitsetup","Unit setup","Unit setup","Настройки"
"meds.unitsetup.meds","Unit medicines settings","Unit medicines settings","Настройки для управления препаратами"
"meds.unitsetup.msgok","Unit stock setup was successfully changed","Unit stock setup was successfully changed","Изменены настройки для управления запасами"
"meds.unitsetup.order","Medicine order settings","Medicine order settings","Настройки для заказа препаратов"
"meds.unitsetup.overwrite","Use default","Use default","Изпользовать настройки по умолчанию"
"meds.unitsfound","{0} unit(s) found","{0} unit(s) found","Найдено {0} учреждений"
"mobile","Mobile message","Mobile message","Сообщение на мобильном телефоне"
"pagenotfound","Page not found","Page not found","Страница не найдена"
"pagenotfound.home","Go to home","Go to home","Вернитесь на начальную страницу "
"pagenotfound.msg","The page you are trying to access does not exist","The page you are trying to access does not exist","Страница на  которую хотите войти не существует"
"period","Period","Period","Период"
"period.age","years","years","Годы"
"period.display","From {0} to {1}","From {0} to {1}","От {0} до {1}"
"period.duration","Duration","Duration","Длительность"
"period.endmonthyear","Final month/year","Final month/year","Последний месяц/год"
"period.inienddate","The final date cannot be before the initial date","The final date cannot be before the initial date","Дата окончания не может предшествовать дате начала"
"period.inimonthyear","Initial month/year","Initial month/year","Исходный месяц/год"
"period.monthyear","month/year","month/year","Месяц/Год"
"period.msgdt1","The start date cannot be before {0}","The start date cannot be before {0}","Дата начала  не может быть раньше {0}"
"period.msgdt2","The finish date cannot be after {0}","The finish date cannot be after {0}","Дата окончания не может быть  после {0}"
"period.msgdt3","The start date must be before {0}","The start date must be before {0}","Дата начала должна быть до {0}"
"period.msgdt4","The finish date must be after {0}","The finish date must be after {0}","Дата окончания должна  быть  после {0}"
"period.msgdt5","The finish date must be before {0}","The finish date must be before {0}","Датаокончания должна  быть до {0}"
"period.msgdt6","The beginning date must be after {0}","The beginning date must be after {0}","Дата начала должна быть после {0}"
"period.timeago","{0} ago","{0} ago","{0} назад"
"pub","Public area","Public area","Зона общего пользования"
"regimens.individualized","Individualized regimen","Individualized regimen","Индивидуальный режим"
"regimens.standard","Standardized regimen","Standardized regimen","Стандартный режим"
"reports","Reports","Reports","Отчеты"
"reports.dat","Data analysis tool","Data analysis tool","Инструмент анализа данных"
"reports.movements","Stock movements report","Stock movements report","Отчет о движении запасов"
"reports.orderleadtime","Average lead time of order workflow","Average lead time of order workflow","Среднее время поставки схемы заказа"
"session","User session","User session","Сеанс пользователя"
"session.usersettings","User settings","User settings","Пользовательские настройки"
"userreg","Create a visitor account","Create a visitor account","Создайте аккаунт визитера"
"userreg.msg1","Please, fill in all the fields below to get access to e-TB Manager. A password will be sent to your email.","Please, fill in all the fields below to get access to e-TB Manager. A password will be sent to your email.","Пожалуйста, заполните эту форму для получения доступа к e-TB Manager"
"userreg.msg3","Your user name was successfully registered in the system.","Your user name was successfully registered in the system.","Ваш логин успешно зарегистрирован в системе"
"userreg.success.1","An e-mail message was sent to you. Please check your mailbox and finish your registration","An e-mail message was sent to you. Please check your mailbox and finish your registration","Вам было выслано сообщение на эл.почту. Пожалуйста проверьте вашу входящую почту и завершите регистрацию"
"usersettings.savemsg","User settings successfully updated","User settings successfully updated","Настройка пользователя было удачно обновлена"
"validation.au.invalidparent","Country structure is not compactible with parent","Country structure is not compactible with parent","Структура страны не совместима с родительским"
"validation.changews","Error when changing the workspace","Error when changing the workspace","Ошибка при смене рабочей обстановке"
"validation.client.list.max","Cannot have more than {0} items","Cannot have more than {0} items","Не может иметь более чем  {0} единиц "
"validation.client.list.min","Cannot have less than {0} items","Cannot have less than {0} items","Не может иметь менее чем  {0} единиц "
"validation.client.max","Cannot have more than {0} characteres","Cannot have more than {0} characteres","Не может иметь более чем  {0} знаков "
"validation.client.min","Cannot have less than {0} characteres","Cannot have less than {0} characteres","Не может иметь менее чем  {0} знаков "
"validation.duplicatedemail","The e-mail address is already in use. Please provide another one.","The e-mail address is already in use. Please provide another one.","Запись с таким же электронным адресом уже существует. Введите другую запись и попытайтесь снова"
"validation.duplicatedname","A record with the same value already exists","A record with the same value already exists","Запись с таким значением уже существует. Введите другое значение и повторите попытку."
"validation.notfound","Information was not found","Information was not found","Информация не найдена"
"validation.pwdNotSame","Password is not the same","Password is not the same","Не тот-же пароль"
"global.summary","Summary","Summary","Резюме"
"FollowUpType.MEDEXAM","Medical consultation","Medical consultation","Медицинская консультация"
"FollowUpType.MICROSCOPY","Exam microscopy","Exam microscopy","Сделайте обследование - микроскопия"
"FollowUpType.CULTURE","Exam culture","Exam culture","Сделайте обследование культуры"
"FollowUpType.XPERT","Xpert MTB/RIF test","Xpert MTB/RIF test","Xpert MTB/RIF тест"
"FollowUpType.DST","Drug susceptibility test (DST) and line probe assay (LPA)","Drug susceptibility test (DST) and line probe assay (LPA)","DST- лекарственная чувствительность и LPA - молекулярная гибридизация с типоспецифичными зондами"
"FollowUpType.XRAY","X-Ray","X-Ray","Рентгенограмма"
"FollowUpType.HIV","HIV","HIV","ВИЧ"
"indicators.add","Add indicator","Add indicator","Добавить индикатор"
"cases.open","Open cases","Open cases","Открытые случаи"
"cases.treat.prescription.delete","Remove prescription","Remove prescription","Удалите предписание"
"cases.treat.prescription.edit","Edit prescription","Edit prescription","Скорректируйте предписание"
"cases.details.tags.noresult","No tags attached to this case","No tags attached to this case","Нет закладок в этом случае"
"cases.details.tags.noresult2","No tags attached to any case","No tags attached to any case",""
"cases.details.othercases.noresult","This patient has no other case","This patient has no other case","У этого пациента нет другого случая"
"global.table.rows","Rows","Rows","Строка"
"global.table.columns","Columns","Columns","Столбцы"
"indicators.vars.add","Add variable","Add variable","Добавить переменную величину"
"admin.users.changepwd","User changed its password","User changed its password","Потребитель изменил свой пароль"
"cases.case.comment.create","Case comment registered","Case comment registered","Зарегистрирован комментарий случая"
"cases.case.comment.delete","Case comment deleted","Case comment deleted","Комментарий случая удален"
"cases.case.comment.update","Case comment updated","Case comment updated","Комментарий случая обновлен"
"cases.case.contact.create","TB Contact registered","TB Contact registered","ТБ контакт зарегистрирован"
"cases.case.contact.delete","TB Contact deleted","TB Contact deleted","ТБ контакт удален"
"cases.case.contact.update","TB Contact updated","TB Contact updated","ТБ контакт зарегистрирован"
"cases.case.create","Case registered","Case registered","Случай регистрирован"
"cases.case.delete","Case deleted","Case deleted","Случай удален"
"cases.case.examcul.create","Exam culture created","Exam culture created","Иссследование культуры создано"
"cases.case.examcul.delete","Exam culture deleted","Exam culture deleted","Иссследование культуры удалено"
"cases.case.examcul.update","Exam culture updated","Exam culture updated","Исследование культуры обновлено"
"cases.case.examdst.create","Exam DST registered","Exam DST registered","Исследование по определению чувствительности к препарату регистрировано"
"cases.case.examdst.delete","Exam DST deleted","Exam DST deleted","Исследование по определению чувствительности к препарату удалено"
"cases.case.examdst.update","Exam DST updated","Exam DST updated","Исследование по определению чувствительности к препарату обнавлено"
"cases.case.examhiv.create","Exam HIV registered","Exam HIV registered","Обследование по ВИЧ регистрировано"
"cases.case.examhiv.delete","Exam HIV deleted","Exam HIV deleted","Обследование по ВИЧ удалено"
"cases.case.examhiv.update","Exam HIV updated","Exam HIV updated","Обследование по ВИЧ обновлено"
"cases.case.exammic.create","Exam microscopy created","Exam microscopy created","Обследование по микроскопии создано"
"cases.case.exammic.delete","Exam microscopy deleted","Exam microscopy deleted","Обследование по микроскопии удалено"
"cases.case.exammic.update","Exam microscopy updated","Exam microscopy updated","Обследование по микроскопии обновлено"
"cases.case.examxpert.create","Exam Xpert registered","Exam Xpert registered","Тест Xpert регистрирован"
"cases.case.examxpert.delete","Exam Xpert deleted","Exam Xpert deleted","Тест Xpert удален"
"cases.case.examxpert.update","Exam Xpert updated","Exam Xpert updated","Тест Xpert обновлен"
"cases.case.examxray.create","Exam X-ray registered","Exam X-ray registered","Обследование рентгенограммой регистрировано"
"cases.case.examxray.delete","Exam X-ray deleted","Exam X-ray deleted","Обследование рентгенограммой удалено"
"cases.case.examxray.update","Exam X-ray updated","Exam X-ray updated","Обследование рентгенограммой обновлено"
"cases.case.issues.create","Case issue registered","Case issue registered","Номер (выписка) случая зарегтстрирован"
"cases.case.issues.delete","Case issue deleted","Case issue deleted","Номер (выписка) случая удален"
"cases.case.issues.update","Case issue updated","Case issue updated","Номер (выписка) случая обновлен"
"cases.case.manualtags","Case tags changed","Case tags changed","Номер (выписка) случая изменен"
"cases.case.medexam.create","Medical examination registered","Medical examination registered","Медицинское обследование зарегистрировано"
"cases.case.medexam.delete","Medical examination deleted","Medical examination deleted","Медицинское обследование удалено"
"cases.case.medexam.update","Medical examination updated","Medical examination updated","Медицинское обследование обнавлено"
"cases.case.prevtreat.create","Previous TB treatment registered","Previous TB treatment registered","Предыдущая ТБ терапия зарегистрирована"
"cases.case.prevtreat.delete","Previous TB treatment deleted","Previous TB treatment deleted","Предыдущая ТБ терапия удалена"
"cases.case.prevtreat.update","Previous TB treatment updated","Previous TB treatment updated","Предыдущая ТБ терапия обновлена"
"cases.case.reopen","Case reopened","Case reopened","Случай открыт снова"
"cases.case.sideeffect.create","Case adverse reaction registered","Case adverse reaction registered","Побочная реакция случая зарегистрирована"
"cases.case.sideeffect.delete","Case adverse reaction deleted","Case adverse reaction deleted","Побочная реакция случая удалена"
"cases.case.sideeffect.update","Case adverse reaction updated","Case adverse reaction updated","Побочная реакция случая обновлена"
"case.sideeffect.edt","New adverse reaction","New adverse reaction","Новая побочная реакция"
"case.sideeffect.new","Edit adverse reaction","Edit adverse reaction","Скорректируйте побочную реакцию"
"cases.case.update","Case updated","Case updated","Случай обновлен"
"cases.close.msg3","You cannot close a case that is being transferred","You cannot close a case that is being transferred","Вы не можете закрыть случай, который находится в процессе перевода"
"cases.details.noresultfound","No result found","No result found","Результат не найден"
"CommandAction.CREATE","Create","Create","Создать"
"CommandAction.DELETE","Delete","Delete","Удалить"
"CommandAction.EXEC","Execute","Execute","Выполнить"
"CommandAction.UPDATE","Update","Update","Обновить"
"TbCase.mobileNumber","Mobile number","Mobile number","Номер мобильного телефона"
"cases.suspect.nottb","Not confirmed (set suspect outcome)","Not confirmed (set suspect outcome)","Нет подтверждения (set suspect outcome ???) Определите исход для человека с подозрением на заболевание"
"init.mail.msg1","Welcome to the e-TB Manager system. This message is just to inform you that the system was successfully initialized.","Welcome to the e-TB Manager system. This message is just to inform you that the system was successfully initialized.","Добро пожаловать в систему  e-TB Manager. Это сообщение прислано вам чтоб сообщить что система была удачно приведена в начальное состояние"
"init.mail.msg2","To enter in the system, click on the address below:","To enter in the system, click on the address below:","Чтобы войти в систему нажмите на адрес внизу:"
"init.mail.msg3","And use the following credentials:","And use the following credentials:","И используйте следующие параметры доступа"
"init.mail.password","The one that you provided during initialization","The one that you provided during initialization","Те которые вы дали во время инициализации - устанавливания в начальное состояние"
"init.mail.title","e-TB Manager successfully initialized","e-TB Manager successfully initialized","e-TB Manager был успешно приведен в начальное состояние"
"login.createaccount","Create a visitor account","Create a visitor account","Создайте аккаунт визитера"
"login.regpage.msg1","Please, fill in all the fields below to get access to e-TB Manager. A password will be sent to your email.","Please, fill in all the fields below to get access to e-TB Manager. A password will be sent to your email.","Пожалуйста заполните все поля чтоб иметь доступ в e-TB Manager. Пароль будет вам выслан по эл.почте"
"login.regpage.msg3","Your user name was successfully registered in the system.","Your user name was successfully registered in the system.","Ваше имя пользователя успешно зарегистрирован в системе"
"mail.detaillink","For detailed information, click on the link bellow","For detailed information, click on the link bellow","Для более детальной информации, нажмите на ссылку ниже"
"mail.fail","Error sending e-mail message to #0","Error sending e-mail message to #0","Ошибка  при  отправке  сообщения на  эл.адрес  #0"
"mail.forgotpassword","New password requested","New password requested","Был запрос на новый пароль"
"mail.forgotpassword.msg","You have requested a new password to enter in e-TB Manager. Your password was reset to","You have requested a new password to enter in e-TB Manager. Your password was reset to","ВЫ запросили новый пароль чтоб войти в e-TB Manager. Ваш пароль был восстановлен"
"mail.forgotpwd","New password requested","New password requested","Введите новый пароль"
"mail.newpassword","New password","New password","Новый пароль"
"mail.newpassword.msg","A new password was created to log into the e-TB Manager","A new password was created to log into the e-TB Manager","Для входа в e-TB Manager создан новый пароль"
"mail.regards","Regards","Regards","С уважением"
"mail.signature","e-TB Manager","e-TB Manager","Системный администратор e-TB Manager"
"mail.success","An e-mail message was sent to #0","An e-mail message was sent to #0","Сообщение  отправлено  на  #0"
"mail.hi","Hi {0}","Hi {0}","Здравствуйте (0)"
"mail.introduction","This is an automatic message sent by the e-TB Manager and it shall not be answered.","This is an automatic message sent by the e-TB Manager and it shall not be answered.","Это сообщение отправлено программой  e-TB Manager автоматически, и на него не надо отвечать."
"mail.loginmsg","To login just click on","To login just click on","Для входа нажмите клавишу"
"NameComposition.LAST_FIRST_MIDDLENAME_WITHOUT_COMMAS","Last, first and middle name without commas","Last, first and middle name without commas","Фамилия, имя, отчество в 3-х отдельных полях (без запятых)"
"cases.hivreport","HIV report","HIV report","Сделан тест на ВИЧ    ВИЧ Отчет  ????"
"PatientType.FAILURE","Failure","Failure","Неудача лечения"
"global.monthth","# month of treatment","# month of treatment","# месяц терапии"
"changepwd.wrongpass","Invalid password","Invalid password","Пароль недействителен"
